Id,Divorce Date,Divorce Type,Nationality Female,DOB Female,Age Female,Occupation Female,Income Female,Marriage Date,Education Female,Employment Female,Marriage Year,Number Children,Zodiac_Sign
323,7/12/07,Necessary,American,2072/10/05,35.0,Homemaker,1930.0,2/2/95,Secondary School,Employer,8.0,3.0,Libra
324,7/12/09,Necessary,American,1976/06/25,33.0,Professional,5800.0,7/12/00,Professional,Employer,8.0,1.0,Cancer
325,7/12/09,Necessary,American,2069/03/04,40.0,Homemaker,4000.0,23/2/94,Secondary School,Employer,15.0,2.0,Pisces
326,7/12/09,Necessary,American,1976/03/09,33.0,Homemaker,4000.0,8/4/94,Secondary School,Employer,13.0,2.0,Pisces
327,7/12/11,Necessary,American,1982/07/17,29.0,Administrator,4500.0,24/6/02,Secondary School,Employer,9.0,2.0,Cancer
328,7/12/11,Necessary,American,2069/02/02,42.0,Journalist,20000.0,20/9/97,Professional,Employer,13.0,1.0,Aquarius
329,8/1/07,Necessary,American,2067/11/16,39.0,Homemaker,4000.0,19/12/90,Professional,Employer,15.0,2.0,Scorpio
330,8/2/01,Voluntary,American,2057/10/16,43.0,Homemaker,2000.0,16/12/86,Professional,Employer,14.0,2.0,Libra
331,8/2/10,Necessary,American,2071/03/18,38.0,Homemaker,10000.0,31/1/97,Professional,Employer,12.0,2.0,Pisces
332,8/2/10,Voluntary,American,2063/08/28,46.0,Cashier,6000.0,29/7/77,Professional,Employer,5.0,1.0,Virgo
333,8/4/08,Necessary,American,2067/07/08,40.0,Teacher,500.0,17/9/98,Primary School,Employer,5.0,1.0,Cancer
334,8/4/08,Necessary,American,1973/09/09,34.0,Homemaker,9000.0,17/7/92,Professional,Employer,16.0,2.0,Virgo
335,8/4/10,Necessary,American,2069/10/01,41.0,Doctor,8000.0,19/12/92,Professional,Employer,15.0,2.0,Libra
336,8/4/10,Necessary,American,2068/11/07,41.0,Homemaker,6000.0,24/4/90,High School,Employer,19.0,3.0,Scorpio
337,8/5/00,Voluntary,American,1976/07/08,23.0,Homemaker,3000.0,16/12/96,High School,Employer,3.0,1.0,Cancer
338,8/5/14,Necessary,American,1987/07/03,27.0,Student,6000.0,18/3/08,High School,Employer,6.0,1.0,Cancer
339,8/6/01,Voluntary,American,2069/01/25,32.0,Publicist,11000.0,22/7/88,Professional,Employer,12.0,2.0,Aquarius
340,8/7/08,Necessary,American,2071/05/07,37.0,Secretary,8000.0,23/11/91,Professional,Employer,16.0,2.0,Taurus
341,8/7/09,Necessary,American,2055/01/05,54.0,Homemaker,5000.0,10/7/80,High School,Employer,28.0,3.0,Capricorn
342,8/7/14,Voluntary,American,2064/09/13,49.0,Merchant,10000.0,24/1/86,Professional,Employer,28.0,1.0,Virgo
343,8/9/08,Necessary,American,2065/07/13,43.0,Homemaker,3500.0,8/11/90,High School,Employer,16.0,2.0,Cancer
344,8/9/08,Necessary,American,2061/06/15,47.0,Homemaker,20000.0,21/6/85,Professional,Employer,22.0,3.0,Gemini
345,8/10/01,Voluntary,American,2051/01/24,50.0,Architect,12000.0,16/3/91,Professional,Establishment,10.0,1.0,Aquarius
346,8/10/08,Necessary,American,1973/04/19,35.0,Employer,14000.0,11/12/95,Professional,Employer,12.0,2.0,Aries
347,8/10/12,Necessary,American,1976/01/27,36.0,Homemaker,5000.0,15/11/94,Professional,Employer,16.0,2.0,Aquarius
348,8/11/01,Voluntary,American,2071/03/06,30.0,Homemaker,5000.0,3/6/89,High School,Employer,12.0,2.0,Pisces
349,8/11/02,Voluntary,American,2059/06/05,43.0,Homemaker,2600.0,1/8/81,High School,Employer,21.0,2.0,Gemini
350,8/11/02,Voluntary,American,2054/02/10,48.0,Homemaker,1500.0,5/10/85,High School,Employer,17.0,1.0,Aquarius
351,8/11/02,Voluntary,American,2070/08/11,31.0,Homemaker,1550.0,7/12/92,Secondary School,Employer,9.0,2.0,Leo
352,8/11/10,Necessary,American,1984/05/04,26.0,Homemaker,3000.0,19/12/08,Professional,Employer,26.0,1.0,Taurus
353,8/11/13,Voluntary,American,2069/03/04,44.0,Homemaker,2600.0,10/8/93,High School,Employer,12.0,1.0,Pisces
354,8/12/00,Voluntary,American,2066/05/21,34.0,Doctor,5600.0,28/2/98,Professional,Employer,1.0,1.0,Gemini
355,8/12/00,Voluntary,American,2066/12/15,33.0,Homemaker,18000.0,8/7/94,Professional,Employer,6.0,1.0,Sagittarius
356,8/12/06,Necessary,American,2070/05/09,36.0,Homemaker,20000.0,21/8/93,Professional,Employer,13.0,2.0,Taurus
357,8/12/08,Necessary,American,2061/06/12,47.0,Businesswoman,4000.0,15/11/94,Professional,Employer,11.0,3.0,Gemini
358,9/1/12,Voluntary,American,2055/06/23,56.0,Educator,20000.0,26/4/80,Professional,Employer,31.0,3.0,Cancer
359,9/2/06,Necessary,American,2060/01/09,45.0,Homemaker,4200.0,27/12/85,Professional,Employer,21.0,2.0,Capricorn
360,9/3/01,Voluntary,American,2062/08/12,38.0,Homemaker,3000.0,20/4/91,Professional,Employer,9.0,1.0,Leo
361,9/3/09,Necessary,American,2066/02/04,42.0,Advisor,15000.0,27/7/85,Professional,Employer,17.0,4.0,Aquarius
362,9/3/11,Necessary,American,1985/07/02,26.0,Homemaker,3000.0,2/10/03,High School,Employer,6.0,1.0,Cancer
363,9/4/14,Voluntary,American,2060/01/05,53.0,Architect,3000.0,14/12/84,Professional,Employer,29.0,2.0,Capricorn
